"Fund Category","Fund Name","Scheme Name","Dividend Date","Dividend Individual/ HUF (Rs) per Unit","Dividend Others (Rs) per Unit"
"Close Ended","HDFC FMP 1172D April 2017 (1)","HDFC FMP 1172D Apr 2017 (1)- Regular Quarterly Dividend - Series-38","18 Mar, 2020","0.0925","0.0857"
"Close Ended","HDFC FMP 1172D April 2017 (1)","HDFC FMP 1172D April 2017 (1) - Direct-Quarterly Dividend - Series-38","18 Mar, 2020","0.0975","0.0903"
"Close Ended","HDFC FMP 1188D March 2017 (1)","HDFC FMP 1188D Mar 2017 (1)- Regular Quarterly Dividend - Series-38","18 Mar, 2020","0.1251","0.1159"
"Close Ended","HDFC FMP 1188D March 2017 (1)","HDFC FMP 1188D Mar 2017(1)- Direct-Quarterly Dividend - Series-38","18 Mar, 2020","0.1326","0.1228"
"Close Ended","HDFC FMP 1213D MARCH 2017 (1)","HDFC FMP 1213D Mar 2017 (1)- Regular Quarterly Dividend - Series-38","18 Mar, 2020","0.1152","0.1067"
"Close Ended","HDFC FMP 1213D MARCH 2017 (1)","HDFC FMP 1213D Mar 2017(1)- Direct-Quarterly Dividend - Series-38","18 Mar, 2020","0.1276","0.1181"
"Close Ended","HDFC Charity Fund For Cancer Cure - Debt Plan","HDFC Charity Fund For Cancer Cure - Debt Plan - Dividend Plan","26 Mar, 2020","0.2654","0.2457"
"Close Ended","HDFC Charity Fund For Cancer Cure - Debt Plan","HDFC Charity Fund For Cancer Cure - Debt Plan - Dividend Option - Direct Plan","26 Mar, 2020","0.2654","0.2457"
"Close Ended","HDFC Charity Fund For Cancer Cure - Arbitrage Plan","HDFC Charity Fund For Cancer Cure - Arbitrage Plan - Dividend Option","26 Mar, 2020","0.2760","0.2760"
"Close Ended","HDFC Charity Fund For Cancer Cure - Arbitrage Plan","HDFC Charity Fund For Cancer Cure - Arbitrage Plan - Dividend Option - Direct Plan","26 Mar, 2020","0.2760","0.2760"
"Close Ended","HDFC FMP 1155D FEBRUARY 2017 (1)","HDFC FMP 1155D Feb 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.0815","0.0755"
"Close Ended","HDFC FMP 1155D FEBRUARY 2017 (1)","HDFC FMP 1155D Feb 2017(1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.0821","0.0761"
"Close Ended","HDFC FMP 1150D FEBRUARY 2017(1)","HDFC FMP 1150D Feb 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.0887","0.0821"
"Close Ended","HDFC FMP 1150D FEBRUARY 2017(1)","HDFC FMP 1150D Feb 2017(1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.0896","0.0829"
"Close Ended","HDFC FMP 1170D FEBRUARY 2017 (1)","HDFC FMP 1170D Feb 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1215","0.1125"
"Close Ended","HDFC FMP 1170D FEBRUARY 2017 (1)","HDFC FMP 1170D Feb 2017(1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1272","0.1178"
"Close Ended","HDFC FMP 1178D FEBRUARY 2017 (1)","HDFC FMP 1178D Feb 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1255","0.1162"
"Close Ended","HDFC FMP 1178D FEBRUARY 2017 (1)","HDFC FMP 1178D Feb 2017(1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1322","0.1224"
"Close Ended","HDFC FMP 1169D February 2017 (1)","HDFC FMP 1169D Feb 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.0817","0.0757"
"Close Ended","HDFC FMP 1169D February 2017 (1)","HDFC FMP 1169D Feb 2017(1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.0826","0.0765"
"Close Ended","HDFC FMP 1199D January 2017 (1)","HDFC FMP 1199D Jan 2017 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1350","0.1250"
"Close Ended","HDFC FMP 1199D January 2017 (1)","HDFC FMP 1199D Jan 2017 (1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1357","0.1257"
"Close Ended","HDFC FMP 1218D December 2016 (1)","HDFC FMP 1218D Dec 2016 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1277","0.1182"
"Close Ended","HDFC FMP 1218D December 2016 (1)","HDFC FMP 1218D Dec 2016 (1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1285","0.1189"
"Close Ended","HDFC FMP 1302D September 2016 (1)","HDFC FMP 1302D Sep 2016 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1514","0.1402"
"Close Ended","HDFC FMP 1302D September 2016 (1)","HDFC FMP 1302D Sep 2016 (1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1598","0.1480"
"Close Ended","HDFC FMP 1309D September 2016 (1)","HDFC FMP 1309D Sep 2016 (1)- Regular Quarterly Dividend - Series-37","18 Mar, 2020","0.1795","0.1662"
"Close Ended","HDFC FMP 1309D September 2016 (1)","HDFC FMP 1309D Sep 2016 (1)- Direct-Quarterly Dividend - Series-37","18 Mar, 2020","0.1872","0.1733"
"Close Ended","HDFC FMP 1111D September 2016 (1)","HDFC FMP 1111D Sep 2016 (1) - Regular- Normal Dividend- Series-37","30 Sep, 2019","1.9797","1.8332"
"Close Ended","HDFC FMP 1111D September 2016 (1)","HDFC FMP 1111D Sep 2016 (1)- Regular - Quarterly Dividend - Series-37","30 Sep, 2019","0.1425","0.1319"
"Close Ended","HDFC FMP 1111D September 2016 (1)","HDFC FMP 1111D Sep 2016 (1)- Direct - Normal Dividend - Series-37","30 Sep, 2019","2.0728","1.9194"
"Close Ended","HDFC FMP 1111D September 2016 (1)","HDFC FMP 1111D Sep 2016 (1)- Direct-Quarterly Dividend - Series-37","30 Sep, 2019","0.1433","0.1327"
"Close Ended","HDFC FMP 1161D JULY 2016 (1)","HDFC FMP 1161D JULY 2016 (1) - Regular- Normal Dividend- Series-36","30 Sep, 2019","2.1211","1.9642"
"Close Ended","HDFC FMP 1161D JULY 2016 (1)","HDFC FMP 1161D JULY 2016 (1)- Regular - Quarterly Dividend - Series-36","30 Sep, 2019","0.1569","0.1453"
